device,country,topic,category,sub_category,raw_messages,raw_users,raw_conversations,index,date
desktop,840,Business Scaling Coaching,Travel & Hospitality,Hospitality Management & Support Services,809,500,546,546,2025-12-03
desktop,840,Pipedrive Consulting,Travel & Hospitality,Hospitality Management & Support Services,702,467,546,546,2025-12-03
desktop,840,B2B Appointment Setting Services,Travel & Hospitality,Hospitality Management & Support Services,721,495,541,541,2025-12-02
desktop,840,Meeting Scheduling,Travel & Hospitality,Hospitality Management & Support Services,749,501,540,540,2025-12-02
desktop,840,Meeting Scheduling,Travel & Hospitality,Hospitality Management & Support Services,682,497,537,537,2025-12-01
desktop,840,Workplace Strategy Coaching,Travel & Hospitality,Hospitality Management & Support Services,874,497,535,535,2025-12-01
desktop,840,Pipedrive Consulting,Travel & Hospitality,Hospitality Management & Support Services,717,462,534,534,2025-12-02
desktop,840,Customer Communication Automation,Travel & Hospitality,Hospitality Management & Support Services,689,472,532,532,2025-12-04
desktop,840,Custom Planners & Agendas,Travel & Hospitality,Hospitality Management & Support Services,683,505,530,530,2025-12-04
desktop,840,Business Scaling Coaching,Travel & Hospitality,Hospitality Management & Support Services,759,475,525,525,2025-12-04
desktop,840,Meeting Scheduling,Travel & Hospitality,Hospitality Management & Support Services,656,485,524,524,2025-12-03
desktop,840,Multi-channel Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,765,463,524,524,2025-12-05
desktop,840,ChatGPT Consulting,Travel & Hospitality,Hospitality Management & Support Services,630,485,523,523,2025-12-02
desktop,840,ChatGPT Consulting,Travel & Hospitality,Hospitality Management & Support Services,639,485,522,522,2025-12-04
desktop,840,Sales Development Representative (SDR) Services,Travel & Hospitality,Hospitality Management & Support Services,727,454,520,520,2025-12-03
desktop,840,B2B Appointment Setting Services,Travel & Hospitality,Hospitality Management & Support Services,677,472,517,517,2025-12-04
desktop,840,Customer Communication Automation,Travel & Hospitality,Hospitality Management & Support Services,687,462,513,513,2025-12-01
desktop,840,Sales Development Representative (SDR) Services,Travel & Hospitality,Hospitality Management & Support Services,671,442,508,508,2025-12-04
desktop,840,Omni-Channel Lead Generation,Travel & Hospitality,Hospitality Management & Support Services,660,444,506,506,2025-12-02
desktop,840,Customer Communication Automation,Travel & Hospitality,Hospitality Management & Support Services,669,452,506,506,2025-12-02
desktop,840,Media Planning & Booking,Travel & Hospitality,Hospitality Management & Support Services,645,448,505,505,2025-12-03
desktop,840,B2B Appointment Setting Services,Travel & Hospitality,Hospitality Management & Support Services,658,450,504,504,2025-12-03
desktop,840,ChatGPT Consulting,Travel & Hospitality,Hospitality Management & Support Services,627,464,501,501,2025-12-03
desktop,840,B2B Appointment Setting Services,Travel & Hospitality,Hospitality Management & Support Services,649,464,501,501,2025-12-01
desktop,840,Account-Based Marketing (ABM) Consulting,Travel & Hospitality,Hospitality Management & Support Services,801,433,500,500,2025-12-05
desktop,840,Sales Development Representative (SDR) Services,Travel & Hospitality,Hospitality Management & Support Services,716,450,500,500,2025-12-01
desktop,840,Client Communication Management,Travel & Hospitality,Hospitality Management & Support Services,617,472,496,496,2025-12-04
desktop,840,Roadmap Planning Consulting,Travel & Hospitality,Hospitality Management & Support Services,684,454,495,495,2025-12-02
desktop,840,Sales Development Representative (SDR) Services,Travel & Hospitality,Hospitality Management & Support Services,678,446,494,494,2025-12-02
desktop,840,Pipedrive Consulting,Travel & Hospitality,Hospitality Management & Support Services,675,429,494,494,2025-12-01
desktop,840,Customer Communication Automation,Travel & Hospitality,Hospitality Management & Support Services,671,439,494,494,2025-12-03
desktop,840,Client Communication Management,Travel & Hospitality,Hospitality Management & Support Services,628,457,490,490,2025-12-02
desktop,840,Lead Nurturing Consulting,Travel & Hospitality,Hospitality Management & Support Services,732,428,489,489,2025-12-05
desktop,840,Due Diligence Support,Travel & Hospitality,Hospitality Management & Support Services,602,470,489,489,2025-12-02
desktop,840,Lead Nurturing Services,Travel & Hospitality,Hospitality Management & Support Services,641,437,489,489,2025-12-02
desktop,840,ChatGPT Consulting,Travel & Hospitality,Hospitality Management & Support Services,598,444,484,484,2025-12-01
desktop,840,Go-to-Market (GTM) Intelligence Platform,Travel & Hospitality,Hospitality Management & Support Services,682,431,483,483,2025-12-01
desktop,840,Workplace Strategy Coaching,Travel & Hospitality,Hospitality Management & Support Services,843,460,482,482,2025-12-02
desktop,840,Due Diligence Support,Travel & Hospitality,Hospitality Management & Support Services,583,458,482,482,2025-12-03
desktop,840,Collaborative Leadership Consulting,Travel & Hospitality,Hospitality Management & Support Services,758,438,479,479,2025-12-01
desktop,840,Conversational Marketing Services,Travel & Hospitality,Hospitality Management & Support Services,627,438,477,477,2025-12-03
desktop,840,CRM Setup & Automation,Travel & Hospitality,Hospitality Management & Support Services,662,406,476,476,2025-12-02
desktop,840,Media Planning & Booking,Travel & Hospitality,Hospitality Management & Support Services,666,433,475,475,2025-12-02
desktop,840,CRM & Pipeline Management,Travel & Hospitality,Hospitality Management & Support Services,654,394,475,475,2025-12-02
desktop,840,Sales & Marketing Campaign Management,Travel & Hospitality,Hospitality Management & Support Services,642,431,474,474,2025-12-02
desktop,840,all,Retail & Consumer Products,Consumer Electronics,6508,3385,3796,3796,2025-12-01
desktop,840,all,Retail & Consumer Products,Consumer Electronics,5433,2959,3377,3377,2025-12-02
desktop,840,all,Retail & Consumer Products,Consumer Electronics,4899,2833,3178,3178,2025-12-03
desktop,840,all,Retail & Consumer Products,Consumer Electronics,4926,2731,3100,3100,2025-12-04
desktop,840,all,Retail & Consumer Products,Consumer Electronics,4086,2322,2572,2572,2025-12-05
desktop,840,all,Retail & Consumer Products,Consumer Electronics,4341,2194,2455,2455,2025-12-07
desktop,840,all,Retail & Consumer Products,Consumer Electronics,3161,1693,1883,1883,2025-12-06
desktop,840,HDMI Displays,Retail & Consumer Products,Consumer Electronics,508,208,226,226,2025-12-01
desktop,840,Smart Monitors,Retail & Consumer Products,Consumer Electronics,448,193,212,212,2025-12-01
desktop,840,HDMI Monitors,Retail & Consumer Products,Consumer Electronics,460,189,208,208,2025-12-01
desktop,840,4K Displays,Retail & Consumer Products,Consumer Electronics,435,175,192,192,2025-12-01
desktop,840,HDMI Solutions,Retail & Consumer Products,Consumer Electronics,371,172,191,191,2025-12-01
desktop,840,OLED Monitors,Retail & Consumer Products,Consumer Electronics,398,168,188,188,2025-12-01
desktop,840,4K Monitors,Retail & Consumer Products,Consumer Electronics,391,164,184,184,2025-12-01
desktop,840,HDMI Equipment,Retail & Consumer Products,Consumer Electronics,346,166,182,182,2025-12-01
desktop,840,Gaming Monitors,Retail & Consumer Products,Consumer Electronics,365,161,179,179,2025-12-01
desktop,840,OLED TVs,Retail & Consumer Products,Consumer Electronics,382,160,173,173,2025-12-01
desktop,840,On-Camera Monitors,Retail & Consumer Products,Consumer Electronics,293,159,172,172,2025-12-01
desktop,840,Smart Display Solutions,Retail & Consumer Products,Consumer Electronics,352,158,170,170,2025-12-01
desktop,840,Full HD Televisions,Retail & Consumer Products,Consumer Electronics,388,153,167,167,2025-12-01
desktop,840,HDMI Products,Retail & Consumer Products,Consumer Electronics,320,147,164,164,2025-12-01
desktop,840,Screen Hardware,Retail & Consumer Products,Consumer Electronics,295,147,162,162,2025-12-01
desktop,840,TV & Display Reviews,Retail & Consumer Products,Consumer Electronics,332,144,158,158,2025-12-01
desktop,840,QLED TVs,Retail & Consumer Products,Consumer Electronics,325,140,151,151,2025-12-01
